age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,lovedTracks,posts,playlists,shouts,binary,tenure,country,text
31,1,3,26,0.666666667,2,0,40305,18,0,1,1,0,23,1,mekarekhaiman
25,1,2,34,0.5,2,0,9704,17,0,0,1,0,45,0,insolo
43,1,8,34,1,4,0,51191,13,0,1,2,0,46,1,lidahet
21,0,5,35.66666667,0.5,5,0,4511,31,0,0,12,1,10,1,nw-ee
20,1,8,31.16666667,0.428571429,1,1,62278,254,0,0,2,0,7,0,ska-_-
28,0,3,48.66666667,0.666666667,1,0,194,0,0,1,1,0,51,0,patykisses
47,0,6,31,0.666666667,5,1,9712,272,0,1,1,0,32,1,firebolt3
33,1,1,44,1,1,0,19757,20,0,1,1,0,49,1,dennis_hair
44,1,7,41.33333333,0.25,3,1,5228,66,22,4,1,0,37,0,vazonik
29,1,7,39.75,0.571428571,1,0,5042,23,0,1,3,0,58,0,deandawes
23,1,5,35.4,0.6,2,0,49911,0,0,0,12,0,37,0,gmarm
56,1,2,37.5,0.5,2,0,1298,225,0,1,2,0,34,0,barrialto
31,1,3,41.5,1,1,0,4925,457,0,1,2,0,13,1,lollikohl
20,1,6,30.6,0.2,1,0,2618,0,0,1,10,0,45,0,william_ts
24,0,38,40.66666667,0.677419355,15,16,16594,1074,8,27,133,0,4,0,worldmusicwoman
20,0,3,28,0.333333333,3,0,19735,27,0,1,1,0,18,1,amberv19
19,1,4,25.66666667,0.5,1,0,447,0,0,0,2,0,14,0,helbergoncalves
22,0,8,30,0.428571429,5,0,5844,27,0,0,7,0,18,0,ayacakes
41,1,4,29.66666667,0,3,0,978,62,0,0,11,0,32,0,davo6970
21,1,8,28.85714286,0.857142857,5,0,18657,5,0,0,5,0,14,1,chaseha
44,1,4,50,0,3,1,1130,749,0,3,6,0,20,0,betlhem1966
17,1,5,25,0.8,2,0,6230,9,0,0,0,0,7,0,pawm13
25,1,7,33.25,1,3,0,12080,31,1,0,12,0,62,0,trafi
16,0,2,24.5,0,2,0,420,2,0,1,5,0,36,1,jilskonk
20,0,5,25.6,1,1,0,1607,25,0,0,2,0,10,0,taahbritto
55,1,3,42,1,3,0,910,214,0,0,2,0,28,1,swordsman5
25,0,7,33.8,1,4,0,458,0,0,0,2,0,37,0,lamantide
19,1,4,26.5,0.5,1,0,14062,0,0,0,0,0,7,0,jeremie_legault
30,1,5,35.5,0.666666667,4,2,1210,63,0,1,1,0,56,0,donignacio
