seas_ep,seas,ep,ep_ct,ep_title,character,wordcount,duration,release,writer_1,writer_2,director,US_viewers,imdb,rt,rt_aud
S1E1,1,1,1,Winter Is Coming,Will,2,62,4/17/2011,David Benioff,D.B. Weiss,Timothy Van Patten,2.22,9.1,100,96
S1E2,1,2,2,The Kingsroad,Jorah Mormont,7,56,4/24/2011,David Benioff,D.B. Weiss,Timothy Van Patten,2.2,8.8,100,96
S1E3,1,3,3,Lord Snow,Royal Steward,21,58,5/1/2011,David Benioff,D.B. Weiss,Brian Kirk,2.44,8.7,86,96
S1E4,1,4,4,"Cripples, Bastards, and Broken Things",Old Nan,6,56,5/8/2011,David Benioff,D.B. Weiss,Brian Kirk,2.45,8.8,100,96
S1E5,1,5,5,The Wolf and the Lion,Eddard Stark,9,55,5/15/2011,David Benioff,D.B. Weiss,Brian Kirk,2.58,9.1,95,96
S1E6,1,6,6,A Golden Crown,Eddard Stark,8,53,5/22/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.44,9.2,100,96
S1E7,1,7,7,You Win or You Die,Jaime Lannister,35,58,5/29/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.4,9.2,100,96
S1E8,1,8,8,The Pointy End,Syrio Forel,5,59,6/5/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.72,9,100,96
S1E9,1,9,9,Baelor,Lord Varys,6,57,6/12/2011,David Benioff,D.B. Weiss,Alan Taylor,2.66,9.6,100,96
S1E10,1,10,10,Fire and Blood,Yoren,32,53,6/19/2011,David Benioff,D.B. Weiss,Alan Taylor,3.04,9.5,100,96
S2E1,2,1,11,The North Remembers,Joffrey Baratheon,5,53,4/1/2012,George R.R. Martin,David Benioff,Alan Taylor,3.86,8.8,100,96
S2E2,2,2,12,The Night Lands,Jaqen H'ghar,1,54,4/8/2012,George R.R. Martin,David Benioff,Alan Taylor,3.76,8.5,89,96
S2E3,2,3,13,What Is Dead May Never Die,Craster,24,53,4/15/2012,George R.R. Martin,David Benioff,Alik Sakharov,3.77,8.8,100,96
S2E4,2,4,14,Garden of Bones,Lannister Guard,12,51,4/22/2012,George R.R. Martin,David Benioff,David Petrarca,3.65,8.8,97,96
S2E5,2,5,15,The Ghost of Harrenhal,Renly Baratheon,3,55,4/29/2012,George R.R. Martin,David Benioff,David Petrarca,3.9,8.8,96,96
S2E6,2,6,16,The Old Gods and the New,Theon Greyjoy,4,54,5/6/2012,George R.R. Martin,David Benioff,David Nutter,3.88,9.1,100,96
S2E7,2,7,17,A Man Without Honor,Theon Greyjoy,17,56,5/13/2012,George R.R. Martin,David Benioff,David Nutter,3.69,8.9,96,96
S2E8,2,8,18,The Prince of Winterfell,Ironborn Man #1,2,54,5/20/2012,George R.R. Martin,David Benioff,Alan Taylor,3.86,8.8,100,96
S2E9,2,9,19,Blackwater,Stannis Baratheon Soldier,2,55,5/27/2012,George R.R. Martin,David Benioff,Neil Marshall,3.38,9.7,100,96
S2E10,2,10,20,Valar Morghulis,Tyrion Lannister,21,64,6/3/2012,George R.R. Martin,David Benioff,Alan Taylor,4.2,9.4,92,96
S3E1,3,1,21,Valar Dohaeris,Night's Watch Man,2,55,3/31/2013,George R.R. Martin,David Benioff,Daniel Minahan,4.37,8.8,98,97
S3E2,3,2,22,"Dark Wings, Dark Words",Jon Snow,5,56,4/7/2013,George R.R. Martin,David Benioff,Daniel Minahan,4.27,8.6,89,97
S3E3,3,3,23,Walk of Punishment,Edmure Tully,22,56,4/14/2013,George R.R. Martin,David Benioff,David Benioff,4.72,8.9,92,97
S3E4,3,4,24,And Now His Watch Is Ended,Bolton Soldier,14,53,4/21/2013,George R.R. Martin,David Benioff,Alex Graves,4.87,9.6,100,97
S3E5,3,5,25,Kissed by Fire,Thoros Of Myr,6,57,4/28/2013,George R.R. Martin,David Benioff,Alex Graves,5.35,9,100,97
S3E6,3,6,26,The Climb,Gilly,7,53,5/5/2013,George R.R. Martin,David Benioff,Alik Sakharov,5.5,8.8,83,97
S3E7,3,7,27,The Bear and the Maiden Fair,Ygritte,4,58,5/12/2013,George R.R. Martin,David Benioff,Michelle MacLaren,4.84,8.7,77,97
S3E8,3,8,28,Second Sons,Sandor Clegane,52,56,5/19/2013,George R.R. Martin,David Benioff,Michelle MacLaren,5.13,9,97,97
S3E9,3,9,29,The Rains of Castamere,Catelyn Stark,5,51,6/2/2013,George R.R. Martin,David Benioff,David Nutter,5.22,9.9,100,97
S3E10,3,10,30,Mhysa,Frey Men,2,63,6/9/2013,George R.R. Martin,David Benioff,David Nutter,5.39,9.2,100,97
S4E1,4,1,31,Two Swords,Jaime Lannister,1,58,4/6/2014,George R.R. Martin,David Benioff,D.B. Weiss,6.64,9.1,95,97
S4E2,4,2,32,The Lion and the Rose,Ramsay Snow,3,52,4/13/2014,George R.R. Martin,David Benioff,Alex Graves,6.31,9.7,100,97
S4E3,4,3,33,Breaker of Chains,Cersei Lannister,6,57,4/20/2014,George R.R. Martin,David Benioff,Alex Graves,6.59,8.9,96,97
S4E4,4,4,34,Oathkeeper,Grey Worm,11,55,4/27/2014,George R.R. Martin,David Benioff,Michelle MacLaren,6.95,8.8,96,97
S4E5,4,5,35,First of His Name,High Septon,91,53,5/4/2014,George R.R. Martin,David Benioff,Michelle MacLaren,7.16,8.7,98,97
S4E6,4,6,36,The Laws of Gods and Men,Davos Seaworth,10,51,5/11/2014,George R.R. Martin,David Benioff,Alik Sakharov,6.4,9.7,96,97
S4E7,4,7,37,Mockingbird,Jaime Lannister,19,51,5/18/2014,George R.R. Martin,David Benioff,Alik Sakharov,7.2,9.1,100,97
S4E8,4,8,38,The Mountain and the Viper,Night's Watch Man,3,52,6/1/2014,George R.R. Martin,David Benioff,Alex Graves,7.17,9.7,96,97
S4E9,4,9,39,The Watchers on the Wall,Samwell Tarly,4,51,6/8/2014,George R.R. Martin,David Benioff,Neil Marshall,6.95,9.6,94,97
S4E10,4,10,40,The Children,Mance Rayder,6,65,6/15/2014,George R.R. Martin,David Benioff,Alex Graves,7.09,9.7,98,97
S5E1,5,1,41,The Wars to Come,Melara Hetherspoon,6,53,4/12/2015,George R.R. Martin,David Benioff,Michael Slovis,8,8.5,96,90
S5E2,5,2,42,The House of Black and White,Ternesio Terys,27,56,4/19/2015,George R.R. Martin,David Benioff,Michael Slovis,6.81,8.5,96,90
S5E3,5,3,43,High Sparrow,Despondent Man,2,60,4/26/2015,George R.R. Martin,David Benioff,Mark Mylod,6.71,8.5,100,90
S5E4,5,4,44,Sons of the Harpy,Jaime Lannister,3,51,5/3/2015,George R.R. Martin,David Benioff,Mark Mylod,6.82,8.7,96,90
S5E5,5,5,45,Kill the Boy,Hizdahr zo Loraq,11,57,5/10/2015,George R.R. Martin,David Benioff,Jeremy Podeswa,6.56,8.6,96,90
S5E6,5,6,46,"Unbowed, Unbent, Unbroken",Arya Stark,7,54,5/17/2015,George R.R. Martin,David Benioff,Jeremy Podeswa,6.24,8,54,90
S5E7,5,7,47,The Gift,Jon Snow,8,59,5/24/2015,George R.R. Martin,David Benioff,Miguel Sapochnik,5.4,9,83,90
S5E8,5,8,48,Hardhome,Jorah Mormont,6,61,5/31/2015,George R.R. Martin,David Benioff,Miguel Sapochnik,7.01,9.9,100,90
S5E9,5,9,49,The Dance of Dragons,Stannis Baratheon Soldier #1,2,52,6/7/2015,George R.R. Martin,David Benioff,David Nutter,7.14,9.5,83,90
S5E10,5,10,50,Mother's Mercy,Melisandre,24,60,6/14/2015,George R.R. Martin,David Benioff,David Nutter,8.11,9.1,92,90
S6E1,6,1,51,The Red Woman,Loyal Night's Watchman #1,5,50,4/24/2016,George R.R. Martin,David Benioff,Jeremy Podeswa,7.94,8.5,86,93
S6E2,6,2,52,Home,Young Rodrik Cassel,5,54,5/1/2016,George R.R. Martin,David Benioff,Jeremy Podeswa,7.29,9.4,87,93
S6E3,6,3,53,Oathbreaker,Davos Seaworth,7,52,5/8/2016,George R.R. Martin,David Benioff,Daniel Sackheim,7.28,8.7,87,93
S6E4,6,4,54,Book of the Stranger,Eddison Tollett,4,59,5/15/2016,George R.R. Martin,David Benioff,Daniel Sackheim,7.82,9.1,100,93
S6E5,6,5,55,The Door,Sansa Stark,1,57,5/22/2016,George R.R. Martin,David Benioff,Jack Bender,7.89,9.7,98,93
S6E6,6,6,56,Blood of My Blood,Bran Stark,4,52,5/29/2016,George R.R. Martin,David Benioff,Jack Bender,6.71,8.4,88,93
S6E7,6,7,57,The Broken Man,Villager Man #1,7,51,6/5/2016,George R.R. Martin,David Benioff,Mark Mylod,7.8,8.6,98,93
S6E8,6,8,58,No One,Lady Crane,109,59,6/12/2016,George R.R. Martin,David Benioff,Mark Mylod,7.6,8.4,85,93
S6E9,6,9,59,Battle of the Bastards,Tyrion Lannister,16,60,6/19/2016,George R.R. Martin,David Benioff,Miguel Sapochnik,7.66,9.9,98,93
S6E10,6,10,60,The Winds of Winter,Tommen's Manservant,9,68,6/26/2016,George R.R. Martin,David Benioff,Miguel Sapochnik,8.89,9.9,99,93
S7E1,7,1,61,Dragonstone,Walder Frey,97,59,7/16/2017,George R.R. Martin,David Benioff,Jeremy Podeswa,10.11,8.6,93,82
S7E2,7,2,62,Stormborn,Tyrion Lannister,10,59,7/23/2017,George R.R. Martin,David Benioff,Mark Mylod,9.27,8.9,96,82
S7E3,7,3,63,The Queen's Justice,Tyrion Lannister,4,63,7/30/2017,George R.R. Martin,David Benioff,Mark Mylod,9.25,9.2,89,82
S7E4,7,4,64,The Spoils of War,Lannister Soldier,3,50,8/6/2017,George R.R. Martin,David Benioff,Matt Shakman,10.17,9.8,97,82
S7E5,7,5,65,Eastwatch,Jaime Lannister,5,59,8/13/2017,George R.R. Martin,David Benioff,Matt Shakman,10.72,8.8,95,82
S7E6,7,6,66,Beyond the Wall,Jon Snow,4,70,8/20/2017,George R.R. Martin,David Benioff,Alan Taylor,10.24,9,84,82
S7E7,7,7,67,The Dragon and the Wolf,Bronn,1,80,8/27/2017,George R.R. Martin,David Benioff,Jeremy Podeswa,12.07,9.4,87,82
S8E1,8,1,68,Winterfell,Tyrion Lannister,12,54,4/14/2019,George R.R. Martin,David Benioff,David Nutter,11.76,7.6,92,30
S8E2,8,2,69,A Knight of the Seven Kingdoms,Daenerys Targaryen,84,58,4/21/2019,George R.R. Martin,David Benioff,David Nutter,10.29,7.9,88,30
S8E3,8,3,70,The Long Night,Northman #1,1,82,4/28/2019,George R.R. Martin,David Benioff,Miguel Sapochnik,12.02,7.5,74,30
S8E4,8,4,71,The Last of the Starks,Jon Snow,102,78,5/5/2019,George R.R. Martin,David Benioff,David Nutter,11.8,5.5,57,30
S8E5,8,5,72,The Bells,Lord Varys,4,78,5/12/2019,George R.R. Martin,David Benioff,Miguel Sapochnik,12.48,6,49,30
S8E6,8,6,73,The Iron Throne,Tyrion Lannister,4,80,5/19/2019,George R.R. Martin,David Benioff,David Benioff,13.61,4.1,48,30
S1E1,1,1,1,Winter Is Coming,Waymar Royce,24,62,4/17/2011,David Benioff,D.B. Weiss,Timothy Van Patten,2.22,9.1,100,96
S1E2,1,2,2,The Kingsroad,Daenerys Targaryen,4,56,4/24/2011,David Benioff,D.B. Weiss,Timothy Van Patten,2.2,8.8,100,96
S1E3,1,3,3,Lord Snow,Eddard Stark,18,58,5/1/2011,David Benioff,D.B. Weiss,Brian Kirk,2.44,8.7,86,96
S1E4,1,4,4,"Cripples, Bastards, and Broken Things",Theon Greyjoy,3,56,5/8/2011,David Benioff,D.B. Weiss,Brian Kirk,2.45,8.8,100,96
S1E5,1,5,5,The Wolf and the Lion,Barristan Selmy,14,55,5/15/2011,David Benioff,D.B. Weiss,Brian Kirk,2.58,9.1,95,96
S1E6,1,6,6,A Golden Crown,Cersei Lannister,8,53,5/22/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.44,9.2,100,96
S1E7,1,7,7,You Win or You Die,Tywin Lannister,4,58,5/29/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.4,9.2,100,96
S1E8,1,8,8,The Pointy End,Syrio Forel,4,59,6/5/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.72,9,100,96
S1E9,1,9,9,Baelor,Eddard Stark,8,57,6/12/2011,David Benioff,D.B. Weiss,Alan Taylor,2.66,9.6,100,96
S1E10,1,10,10,Fire and Blood,Yoren,5,53,6/19/2011,David Benioff,D.B. Weiss,Alan Taylor,3.04,9.5,100,96
S2E1,2,1,11,The North Remembers,Joffrey Baratheon,4,53,4/1/2012,George R.R. Martin,David Benioff,Alan Taylor,3.86,8.8,100,96
S2E2,2,2,12,The Night Lands,Jaqen H'ghar,2,54,4/8/2012,George R.R. Martin,David Benioff,Alan Taylor,3.76,8.5,89,96
S2E3,2,3,13,What Is Dead May Never Die,Jeor Mormont,2,53,4/15/2012,George R.R. Martin,David Benioff,Alik Sakharov,3.77,8.8,100,96
S2E4,2,4,14,Garden of Bones,Rennick,14,51,4/22/2012,George R.R. Martin,David Benioff,David Petrarca,3.65,8.8,97,96
S2E5,2,5,15,The Ghost of Harrenhal,Catelyn Stark,12,55,4/29/2012,George R.R. Martin,David Benioff,David Petrarca,3.9,8.8,96,96
S2E6,2,6,16,The Old Gods and the New,Bran Stark,1,54,5/6/2012,George R.R. Martin,David Benioff,David Nutter,3.88,9.1,100,96
S2E7,2,7,17,A Man Without Honor,Black Lorren,6,56,5/13/2012,George R.R. Martin,David Benioff,David Nutter,3.69,8.9,96,96
S2E8,2,8,18,The Prince of Winterfell,Ironborn Man #2,3,54,5/20/2012,George R.R. Martin,David Benioff,Alan Taylor,3.86,8.8,100,96
S2E9,2,9,19,Blackwater,Matthos Seaworth,4,55,5/27/2012,George R.R. Martin,David Benioff,Neil Marshall,3.38,9.7,100,96
S2E10,2,10,20,Valar Morghulis,Podrick Payne,3,64,6/3/2012,George R.R. Martin,David Benioff,Alan Taylor,4.2,9.4,92,96
S3E1,3,1,21,Valar Dohaeris,Samwell Tarly,1,55,3/31/2013,George R.R. Martin,David Benioff,Daniel Minahan,4.37,8.8,98,97
S3E2,3,2,22,"Dark Wings, Dark Words",Robb Stark,4,56,4/7/2013,George R.R. Martin,David Benioff,Daniel Minahan,4.27,8.6,89,97
S3E3,3,3,23,Walk of Punishment,Brynden Tully,19,56,4/14/2013,George R.R. Martin,David Benioff,David Benioff,4.72,8.9,92,97
S3E4,3,4,24,And Now His Watch Is Ended,Locke,26,53,4/21/2013,George R.R. Martin,David Benioff,Alex Graves,4.87,9.6,100,97
S3E5,3,5,25,Kissed by Fire,Brotherhood Men,5,57,4/28/2013,George R.R. Martin,David Benioff,Alex Graves,5.35,9,100,97
S3E6,3,6,26,The Climb,Samwell Tarly,8,53,5/5/2013,George R.R. Martin,David Benioff,Alik Sakharov,5.5,8.8,83,97
S3E7,3,7,27,The Bear and the Maiden Fair,Jon Snow,5,58,5/12/2013,George R.R. Martin,David Benioff,Michelle MacLaren,4.84,8.7,77,97
S3E8,3,8,28,Second Sons,Arya Stark,6,56,5/19/2013,George R.R. Martin,David Benioff,Michelle MacLaren,5.13,9,97,97
