Index,Release Date,Season,Episode,Episode Title,Name,gender,class,house,Sentence,
277,4/17/2011,Season 1,Episode 1,Winter is Coming,a voice,male,noble,lesser,"It's Maester Luwin, my lord.",2
3013,6/19/2011,Season 1,Episode 10,Fire and Blood,addam marbrand,male,noble,lesser,ls it true about Stannis and Renly?,2
3018,6/19/2011,Season 1,Episode 10,Fire and Blood,addam marbrand,male,noble,lesser,Kevan Lannister,2
4230,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,aeron greyjoy,male,cleric,none,Kneel.,2
4231,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,aeron greyjoy,male,cleric,none,"Let Theon, your servant, be born again from the sea as you were. Bless him with salt. Bless him with stone. Bless him with steel.",2
4233,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,aeron greyjoy,male,cleric,none,What is dead may never die. But rises again harder and stronger. Stand.,2
17613,5/1/2016,Season 6,Episode 2,Home,aeron greyjoy,male,cleric,none,"Lord, take your servant Balon back beneath the waves Feed the creatures of your kingdom on his flesh Pull his bones down to your depths to rest beside his ancestors and his children",2
17616,5/1/2016,Season 6,Episode 2,Home,aeron greyjoy,male,cleric,none,"The Salt Throne is not yours to swear upon, not unless the kingsmoot chooses you",2
17618,5/1/2016,Season 6,Episode 2,Home,aeron greyjoy,male,cleric,none,Your father does not get to choose The law is clear Perhaps you'll win Perhaps you'll be the first woman in history to rule the Ironborn And perhaps not,2
18436,5/22/2016,Season 6,Episode 5,The Door,aeron greyjoy,male,cleric,none,We speak in the presence of the Drowned God. In his name we father today to choose a new king as our leader. Who makes a claim?,2
18472,5/22/2016,Season 6,Episode 5,The Door,aeron greyjoy,male,cleric,none,"May Euron, your servant, be born again from the sea as you were. Bless him with salt. Bless him with stone. Bless him with steel.",2
18473,5/22/2016,Season 6,Episode 5,The Door,aeron greyjoy,male,cleric,none,Listen to the waves. Listen to the god. He is speaking to us and he says we shall have no king but Euron Greyjoy. Let the sea wash your follies and your vanities away. Let the old Euron drown. Let his lungs fill with seawater.,2
18474,5/22/2016,Season 6,Episode 5,The Door,aeron greyjoy,male,cleric,none,Let the fish eat the scales off his eyes.,2
18475,5/22/2016,Season 6,Episode 5,The Door,aeron greyjoy,male,cleric,none,"What is dead may never die, but rises again harder and stronger.",2
18476,5/22/2016,Season 6,Episode 5,The Door,aeron greyjoy,male,cleric,none,What is dead may never die.,2
18479,5/22/2016,Season 6,Episode 5,The Door,aeron greyjoy,male,cleric,none,They stole our best ships.,2
2626,6/12/2011,Season 1,Episode 9,Baelor,all,none,none,none,Sword! Sword! Sword! Sword! Sword! Sword! Sword! Sword! Sword!,1
2990,6/19/2011,Season 1,Episode 10,Fire and Blood,all,none,none,none,The King in the North! The King in the North! The King in the North! The King in the North!,1
3889,4/8/2012,Season 2,Episode 2,The Night Lands,all,none,none,none,What's dead may never die.,1
6696,5/27/2012,Season 2,Episode 9,Blackwater,all,none,none,none,"Save our sons from war, we pray.",1
6720,5/27/2012,Season 2,Episode 9,Blackwater,all,none,none,none,Halfman! Halfman! Halfman!,1
12233,5/4/2014,Season 4,Episode 5,First of His Name,all,none,none,none,Long may he reign!,1
13757,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,all,none,none,none,"And win no glory. I shall live and die at my post. I am the sword in the darkness. I am the watcher on the walls. I am the shield that guards the realms of men. I pledge my life and honor to the Night's Watch, for this night and all the nights to come!",1
13946,6/15/2014,Season 4,Episode 10,The Children,all,none,none,none,And now their watch is ended.,1
17614,5/1/2016,Season 6,Episode 2,Home,all,none,none,none,What is dead may never die,1
18440,5/22/2016,Season 6,Episode 5,The Door,all,none,none,none,Aye!,1
18477,5/22/2016,Season 6,Episode 5,The Door,all,none,none,none,What is dead may never die.,1
18746,5/29/2016,Season 6,Episode 6,Blood of My Blood,all,none,none,none,Hail King Joffrey. Hail Queen Margaery.,1
19714,6/19/2016,Season 6,Episode 9,Battle of the Bastards,all,none,none,none,We do!,1
19999,6/26/2016,Season 6,Episode 10,The Winds of Winter,all,none,none,none,The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North! The King in the North!,1
20003,6/26/2016,Season 6,Episode 10,The Winds of Winter,all,none,none,none,Long may she reign.,1
20008,7/16/2017,Season 7,Episode 1,Dragonstone,all,none,none,none,Stand together!,1
20037,7/16/2017,Season 7,Episode 1,Dragonstone,all,none,none,none,Aye!,1
23334,5/5/2019,Season 8,Episode 4,The Last of the Starks,all,none,none,none,To Gendry!,1
23823,5/19/2019,Season 8,Episode 6,The Iron Throne,all,none,none,none,All hail Bran the Broken!,1
23911,5/19/2019,Season 8,Episode 6,The Iron Throne,all,none,none,none,The Queen in the North! The Queen in the North! The Queen in the North! The Queen in the North! The Queen in the North!,1
768,5/1/2011,Season 1,Episode 3,Lord Snow,alliser thorne,male,noble,lesser,"If that were a real sword, you'd be dead. Lord Snow here grew up in a castle spitting down on the likes of you. Pyp. Do you think Ned Stark's bastard bleeds like the rest of us?",2
769,5/1/2011,Season 1,Episode 3,Lord Snow,alliser thorne,male,noble,lesser,Next!,2
770,5/1/2011,Season 1,Episode 3,Lord Snow,alliser thorne,male,noble,lesser,"Lord Snow, it appears you're the least useless person here. Go clean yourselves up. There's only so much I can stomach in a day.",2
1010,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,male,noble,lesser,Tell them your name.,2
1013,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,male,noble,lesser,"Well, you couldn't be any worse than you look. See what he can do.",2
1015,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,male,noble,lesser,"On your feet. Pick up your sword. Hit him till he finds his feet. It seems they've run short of poachers and thieves down south. Now they send us squealing bloody pigs. Again, harder.",2
1017,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,male,noble,lesser,"Looks like the bastardo s in love. All right then, lord Snow, you wish to defend your lady love, let's make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you've got to do is get past the bastard.",2
1020,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,male,noble,lesser,We're done for today. Go clean the armory. That's all you're good for.,2
1249,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,male,noble,lesser,"What are you waiting for? Attack him! You, get in there.",2
1251,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,male,noble,lesser,"You think this is funny, do you? When you're out there beyond the Wall with the sun going down, do you want a man at your back? Or a sniveling boy?",2
1297,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,male,noble,lesser,"Enjoying yourselves? You look cold, boys.",2
1299,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,male,noble,lesser,"A bit nippy, yeah, by the fire, indoors. It's still summer. Do you boys even remember the last winter? How long has it been now? What, 10 years? I remember. Was it uncomfortable at Winterfell? Were there days when you just couldn't get warm, never mind how many fires your servants built?",2
