Index,Seas_Ep,Season,Episode,Episode_Title,Character,Word_Count,Release_date,Duration,Rating,Writer_1,Writer_2,Director,US_Viewers,rate,rate_aud
0,S1E1,1,1,Winter Is Coming,Will,2,4/17/2011,62,9.1,David Benioff,D.B. Weiss,Timothy Van Patten,2.2,100.0,96.0
1,S1E2,1,2,The Kingsroad,Jorah Mormont,7,4/24/2011,56,8.8,David Benioff,D.B. Weiss,Timothy Van Patten,2.2,100.0,96.0
2,S1E3,1,3,Lord Snow,Royal Steward,21,5/1/2011,58,8.7,David Benioff,D.B. Weiss,Brian Kirk,2.4,86.0,96.0
3,S1E4,1,4,"Cripples, Bastards, and Broken Things",Old Nan,6,5/8/2011,56,8.8,David Benioff,D.B. Weiss,Brian Kirk,2.5,100.0,96.0
4,S1E5,1,5,The Wolf and the Lion,Eddard Stark,9,5/15/2011,55,9.1,David Benioff,D.B. Weiss,Brian Kirk,2.6,95.0,96.0
5,S1E6,1,6,A Golden Crown,Eddard Stark,8,5/22/2011,53,9.2,David Benioff,D.B. Weiss,Daniel Minahan,2.4,100.0,96.0
6,S1E7,1,7,You Win or You Die,Jaime Lannister,35,5/29/2011,58,9.2,David Benioff,D.B. Weiss,Daniel Minahan,2.4,100.0,96.0
7,S1E8,1,8,The Pointy End,Syrio Forel,5,6/5/2011,59,9.0,David Benioff,D.B. Weiss,Daniel Minahan,2.7,100.0,96.0
8,S1E9,1,9,Baelor,Lord Varys,6,6/12/2011,57,9.6,David Benioff,D.B. Weiss,Alan Taylor,2.7,100.0,96.0
9,S1E10,1,10,Fire and Blood,Yoren,32,6/19/2011,53,9.5,David Benioff,D.B. Weiss,Alan Taylor,3.0,100.0,96.0
10,S2E1,2,1,The North Remembers,Joffrey Baratheon,5,4/1/2012,53,8.8,George R.R. Martin,David Benioff,Alan Taylor,3.9,100.0,96.0
11,S2E2,2,2,The Night Lands,Jaqen H'ghar,1,4/8/2012,54,8.5,George R.R. Martin,David Benioff,Alan Taylor,3.8,89.0,96.0
12,S2E3,2,3,What Is Dead May Never Die,Craster,24,4/15/2012,53,8.8,George R.R. Martin,David Benioff,Alik Sakharov,3.8,100.0,96.0
13,S2E4,2,4,Garden of Bones,Lannister Guard,12,4/22/2012,51,8.8,George R.R. Martin,David Benioff,David Petrarca,3.7,97.0,96.0
14,S2E5,2,5,The Ghost of Harrenhal,Renly Baratheon,3,4/29/2012,55,8.8,George R.R. Martin,David Benioff,David Petrarca,3.9,96.0,96.0
15,S2E6,2,6,The Old Gods and the New,Theon Greyjoy,4,5/6/2012,54,9.1,George R.R. Martin,David Benioff,David Nutter,3.9,100.0,96.0
16,S2E7,2,7,A Man Without Honor,Theon Greyjoy,17,5/13/2012,56,8.9,George R.R. Martin,David Benioff,David Nutter,3.7,96.0,96.0
17,S2E8,2,8,The Prince of Winterfell,Ironborn Man #1,2,5/20/2012,54,8.8,George R.R. Martin,David Benioff,Alan Taylor,3.9,100.0,96.0
18,S2E9,2,9,Blackwater,Stannis Baratheon Soldier,2,5/27/2012,55,9.7,George R.R. Martin,David Benioff,Neil Marshall,3.4,100.0,96.0
19,S2E10,2,10,Valar Morghulis,Tyrion Lannister,21,6/3/2012,64,9.4,George R.R. Martin,David Benioff,Alan Taylor,4.2,92.0,96.0
20,S3E1,3,1,Valar Dohaeris,Night's Watch Man,2,3/31/2013,55,8.8,George R.R. Martin,David Benioff,Daniel Minahan,4.4,98.0,97.0
21,S3E2,3,2,"Dark Wings, Dark Words",Jon Snow,5,4/7/2013,56,8.6,George R.R. Martin,David Benioff,Daniel Minahan,4.3,89.0,97.0
22,S3E3,3,3,Walk of Punishment,Edmure Tully,22,4/14/2013,56,8.9,George R.R. Martin,David Benioff,David Benioff,4.7,92.0,97.0
23,S3E4,3,4,And Now His Watch Is Ended,Bolton Soldier,14,4/21/2013,53,9.6,George R.R. Martin,David Benioff,Alex Graves,4.9,100.0,97.0
24,S3E5,3,5,Kissed by Fire,Thoros Of Myr,6,4/28/2013,57,9.0,George R.R. Martin,David Benioff,Alex Graves,5.4,100.0,97.0
25,S3E6,3,6,The Climb,Gilly,7,5/5/2013,53,8.8,George R.R. Martin,David Benioff,Alik Sakharov,5.5,83.0,97.0
26,S3E7,3,7,The Bear and the Maiden Fair,Ygritte,4,5/12/2013,58,8.7,George R.R. Martin,David Benioff,Michelle MacLaren,4.8,77.0,97.0
27,S3E8,3,8,Second Sons,Sandor Clegane,52,5/19/2013,56,9.0,George R.R. Martin,David Benioff,Michelle MacLaren,5.1,97.0,97.0
28,S3E9,3,9,The Rains of Castamere,Catelyn Stark,5,6/2/2013,51,9.9,George R.R. Martin,David Benioff,David Nutter,5.2,100.0,97.0
29,S3E10,3,10,Mhysa,Frey Men,2,6/9/2013,63,9.2,George R.R. Martin,David Benioff,David Nutter,5.4,100.0,97.0
30,S4E1,4,1,Two Swords,Jaime Lannister,1,4/6/2014,58,9.1,George R.R. Martin,David Benioff,D.B. Weiss,6.6,95.0,97.0
31,S4E2,4,2,The Lion and the Rose,Ramsay Snow,3,4/13/2014,52,9.7,George R.R. Martin,David Benioff,Alex Graves,6.3,100.0,97.0
32,S4E3,4,3,Breaker of Chains,Cersei Lannister,6,4/20/2014,57,8.9,George R.R. Martin,David Benioff,Alex Graves,6.6,96.0,97.0
33,S4E4,4,4,Oathkeeper,Grey Worm,11,4/27/2014,55,8.8,George R.R. Martin,David Benioff,Michelle MacLaren,7.0,96.0,97.0
34,S4E5,4,5,First of His Name,High Septon,91,5/4/2014,53,8.7,George R.R. Martin,David Benioff,Michelle MacLaren,7.2,98.0,97.0
35,S4E6,4,6,The Laws of Gods and Men,Davos Seaworth,10,5/11/2014,51,9.7,George R.R. Martin,David Benioff,Alik Sakharov,6.4,96.0,97.0
36,S4E7,4,7,Mockingbird,Jaime Lannister,19,5/18/2014,51,9.1,George R.R. Martin,David Benioff,Alik Sakharov,7.2,100.0,97.0
